id,parent_id,parent_ids,name,href,target,icon,sort,is_show,permission,remarks,create_by,create_date,update_by,update_date,del_flag
25,23,"0,1,2,23",项目支持,http://jeesite.com/donation.html,_blank,,50,0,,,1,"2019-08-01",1,"2019-08-01",1
26,23,"0,1,2,23",论坛交流,http://bbs.jeesite.com,_blank,,80,0,,,1,"2019-08-01",1,"2019-08-01",1
27,1,"0,1,",我的面板,,,,100,1,,,1,"2019-08-01",1,"2019-08-01",0
28,27,"0,1,27,",个人信息,,,,30,1,,,1,"2019-08-01",1,"2019-08-01",0
29,28,"0,1,27,28,",个人信息,/sys/user/info,,user,30,1,,,1,"2019-08-01",1,"2019-08-01",0
30,28,"0,1,27,28,",修改密码,/sys/user/modifyPwd,,lock,40,1,,,1,"2019-08-01",1,"2019-08-01",0
31,1,"0,1,",内容管理,,,,500,1,,,1,"2019-08-01",1,"2019-08-01",0
32,31,"0,1,31,",栏目设置,,,,990,1,,,1,"2019-08-01",1,"2019-08-01",0
33,32,"0,1,31,32",栏目管理,/cms/category/,,align-justify,30,1,,,1,"2019-08-01",1,"2019-08-01",0
34,33,"0,1,31,32,33,",查看,,,,30,0,cms:category:view,,1,"2019-08-01",1,"2019-08-01",0
35,33,"0,1,31,32,33,",修改,,,,40,0,cms:category:edit,,1,"2019-08-01",1,"2019-08-01",0
36,32,"0,1,31,32",站点设置,/cms/site/,,certificate,40,1,,,1,"2019-08-01",1,"2019-08-01",0
37,36,"0,1,31,32,36,",查看,,,,30,0,cms:site:view,,1,"2019-08-01",1,"2019-08-01",0
38,36,"0,1,31,32,36,",修改,,,,40,0,cms:site:edit,,1,"2019-08-01",1,"2019-08-01",0
